url,city,price,price_per_sqm,description,district_name,street_address,area_m2,upload_date
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-1-otaxiani-bina-nadzaladevshi-21813227,თბილისი,350 $,18 $ /მ2,ქირავდება 1 ოთახიანი ბინა ნაძალადევში,არ არის მოწოდებული,სააკაძე გ. ქ. 71,20,"11 ივლ, 21:46"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-3-otaxiani-bina-saburtaloze-21813014,თბილისი,600 $,5 $ /მ2,ქირავდება 3 ოთახიანი ბინა საბურთალოზე,არ არის მოწოდებული,პოლიტკოვსკაია ა. ქ. (ჯიქია) 8,130,"11 ივლ, 20:08"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-lisze-21812075,თბილისი,92000 $,"1,449 $ /მ2",იყიდება 3 ოთახიანი ბინა ლისზე,არ არის მოწოდებული,ვარაზი ა. ქ. 22,63.49,"11 ივლ, 18:16"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-saburtaloze-21810031,თბილისი,121000 $,"1,440 $ /მ2",იყიდება 3 ოთახიანი ბინა საბურთალოზე,არ არის მოწოდებული,მიცკევიჩი ა. ქ. 6,84,"11 ივლ, 16:43"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-1-otaxiani-bina-navtlughshi-21809758,თბილისი,60000 $,"1,846 $ /მ2",იყიდება 1 ოთახიანი ბინა ნავთლუღში,არ არის მოწოდებული,ბოგდან ხმელნიცკის ქუჩა 55,32.5,"11 ივლ, 16:31"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-did-dighomshi-21809193,თბილისი,100000 $,"1,513 $ /მ2",იყიდება 2 ოთახიანი ბინა დიდ დიღომში,არ არის მოწოდებული,გრიგოლ ჩხიკვაძის ქუჩა 3,66.1,"11 ივლ, 16:06"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-san-zonashi-21808706,თბილისი,170000 $,"1,030 $ /მ2",იყიდება 2 ოთახიანი ბინა სან. ზონაში,არ არის მოწოდებული,ერწოს ქ. 10,165,"11 ივლ, 15:45"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-4-otaxiani-bina-varketilshi-21808343,თბილისი,129600 $,"1,200 $ /მ2",იყიდება 4 ოთახიანი ბინა ვარკეთილში,არ არის მოწოდებული,დვალის ქ. 3,108,"11 ივლ, 15:29"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-4-otaxiani-bina-ortachalashi-21545945,თბილისი,165000 $,"1,435 $ /მ2",იყიდება 4 ოთახიანი ბინა ორთაჭალაში,არ არის მოწოდებული,ლაისტი ა. ქ. 9,115,"11 ივლ, 14:19"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-saburtaloze-21805092,თბილისი,104000 $,"1,625 $ /მ2",იყიდება 2 ოთახიანი ბინა საბურთალოზე,არ არის მოწოდებული,იყალთოს ქ.,64,"11 ივლ, 12:28"
https://livo.ge/udzravi-qoneba/qiravdebadghiurad-bina/qiravdeba-dghiurad-2-otaxiani-bina-gldanshi-321212,თბილისი,15 $,0 $ /მ2,ქირავდება დღიურად 2 ოთახიანი ბინა გლდანში,არ არის მოწოდებული,გლდანი - ა მ/რ,55,"11 ივლ, 11:50"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-isanshi-21204438,თბილისი,479 $,9 $ /მ2,ქირავდება 2 ოთახიანი ბინა ისანში,არ არის მოწოდებული,ნადირაშვილი შ. ქ. 21,55,"11 ივლ, 11:42"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-vakeshi-21804282,თბილისი,850 $,14 $ /მ2,ქირავდება 2 ოთახიანი ბინა ვაკეში,არ არის მოწოდებული,ატენის ქ. 16ა,60,"11 ივლ, 11:40"
https://livo.ge/udzravi-qoneba/qiravdebadghiurad-bina/qiravdeba-dghiurad-2-otaxiani-bina-muxianshi-19115372,თბილისი,29 $,1 $ /მ2,ქირავდება დღიურად 2 ოთახიანი ბინა მუხიანში,არ არის მოწოდებული,გობრონიძე ა. ქ. 11,45,"10 ივლ, 22:37"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-4-otaxiani-bina-did-dighomshi-21803329,თბილისი,552 $,5 $ /მ2,ქირავდება 4 ოთახიანი ბინა დიდ დიღომში,არ არის მოწოდებული,გიორგი ბრწყინვალეს ქ. 35,120,"10 ივლ, 22:14"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-4-otaxiani-bina-kaklebshi-21801016,თბილისი,1300 $,8 $ /მ2,ქირავდება 4 ოთახიანი ბინა კაკლებში,არ არის მოწოდებული,კაკლების ქ.,170,"10 ივლ, 17:24"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-3-otaxiani-bina-saburtaloze-21799826,თბილისი,600 $,8 $ /მ2,ქირავდება 3 ოთახიანი ბინა საბურთალოზე,არ არის მოწოდებული,ბახტრიონის ქ. 23,80,"10 ივლ, 16:28"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-1-otaxiani-bina-did-dighomshi-21795720,თბილისი,370 $,12 $ /მ2,ქირავდება 1 ოთახიანი ბინა დიდ დიღომში,არ არის მოწოდებული,დავარის ქ. 21,30,"10 ივლ, 12:33"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-dighmis-masivshi-21795265,თბილისი,580 $,13 $ /მ2,ქირავდება 2 ოთახიანი ბინა დიღმის მასივში,არ არის მოწოდებული,ბელიაშვილი ა. ქ.,45,"10 ივლ, 12:05"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-did-dighomshi-21794581,თბილისი,67000 $,"1,457 $ /მ2",იყიდება 2 ოთახიანი ბინა დიდ დიღომში,არ არის მოწოდებული,პეტრე იბერის ქ. 30,46,"10 ივლ, 10:11"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-3-otaxiani-bina-qutaisshi-21818509,ქუთაისი,368 $,6 $ /მ2,ქირავდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ბუხაიძის ქ. 3ვ,65,"12 ივლ, 22:29"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-qutaisshi-21373456,ქუთაისი,39000 $,736 $ /მ2,იყიდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,შერვაშიძის ქ. 53,53,"9 ივლ, 11:20"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-4-otaxiani-bina-qutaisshi-21821598,ქუთაისი,58000 $,744 $ /მ2,იყიდება 4 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,განჯის ქ.,78,"13 ივლ, 20:51"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-10-otaxiani-bina-qutaisshi-21821499,ქუთაისი,80000 $,"1,000 $ /მ2",იყიდება 10+ ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,წერეთლის ქუჩა,80,"13 ივლ, 19:59"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-7-otaxiani-bina-qutaisshi-21821490,ქუთაისი,221 $,2 $ /მ2,ქირავდება 7 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,კუპრაძის ქ. 355,100,"13 ივლ, 19:55"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-qutaisshi-21821194,ქუთაისი,56100 $,"1,100 $ /მ2",იყიდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,რუსთაველის შეს.,51,"13 ივლ, 18:18"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-qutaisshi-21820913,ქუთაისი,48000 $,800 $ /მ2,იყიდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ბუხაიძის ქ.,60,"13 ივლ, 17:15"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-3-otaxiani-bina-qutaisshi-21820724,ქუთაისი,600 $,9 $ /მ2,ქირავდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,აღმაშენებლის გამზ.,65,"13 ივლ, 16:46"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-qutaisshi-21820645,ქუთაისი,69000 $,932 $ /მ2,იყიდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ბუკიას ქ.,74,"13 ივლ, 16:33"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-qutaisshi-21819920,ქუთაისი,71545 $,950 $ /მ2,იყიდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ჯავახიშვილი ი. ქუჩა 20ა,75.31,"13 ივლ, 14:23"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-1-otaxiani-bina-qutaisshi-21819796,ქუთაისი,31500 $,"1,050 $ /მ2",იყიდება 1 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,სადგურის ქ. 3,30,"13 ივლ, 13:54"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-4-otaxiani-bina-qutaisshi-21819359,ქუთაისი,67000 $,957 $ /მ2,იყიდება 4 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,თაბუკაშვილის ქ. 205,70,"13 ივლ, 12:31"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-3-otaxiani-bina-qutaisshi-21819290,ქუთაისი,368 $,6 $ /მ2,ქირავდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ბუხაიძის ქ.,65,"13 ივლ, 12:14"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-qutaisshi-21819274,ქუთაისი,295 $,6 $ /მ2,ქირავდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,თბილისის ქ.,50,"13 ივლ, 12:10"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-3-otaxiani-bina-qutaisshi-21819165,ქუთაისი,368 $,4 $ /მ2,ქირავდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,აღმაშენებლის გამზ. 81,100,"13 ივლ, 11:43"
