url,city,price,price_per_sqm,description,district_name,street_address,area_m2,upload_date,transaction_type
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-1-otaxiani-bina-nadzaladevshi-21813227,თბილისი,350.0,18.0,ქირავდება 1 ოთახიანი ბინა ნაძალადევში,არ არის მოწოდებული,სააკაძე გ. ქ. 71,20.0,2025-07-11 21:46,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-3-otaxiani-bina-saburtaloze-21813014,თბილისი,600.0,5.0,ქირავდება 3 ოთახიანი ბინა საბურთალოზე,არ არის მოწოდებული,პოლიტკოვსკაია ა. ქ. (ჯიქია) 8,130.0,2025-07-11 20:08,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-lisze-21812075,თბილისი,92000.0,1449.0,იყიდება 3 ოთახიანი ბინა ლისზე,არ არის მოწოდებული,ვარაზი ა. ქ. 22,63.49,2025-07-11 18:16,იყიდება
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-saburtaloze-21810031,თბილისი,121000.0,1440.0,იყიდება 3 ოთახიანი ბინა საბურთალოზე,არ არის მოწოდებული,მიცკევიჩი ა. ქ. 6,84.0,2025-07-11 16:43,იყიდება
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-1-otaxiani-bina-navtlughshi-21809758,თბილისი,60000.0,1846.0,იყიდება 1 ოთახიანი ბინა ნავთლუღში,არ არის მოწოდებული,ბოგდან ხმელნიცკის ქუჩა 55,32.5,2025-07-11 16:31,იყიდება
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-did-dighomshi-21809193,თბილისი,100000.0,1513.0,იყიდება 2 ოთახიანი ბინა დიდ დიღომში,არ არის მოწოდებული,გრიგოლ ჩხიკვაძის ქუჩა 3,66.1,2025-07-11 16:06,იყიდება
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-san-zonashi-21808706,თბილისი,170000.0,1030.0,იყიდება 2 ოთახიანი ბინა სან. ზონაში,არ არის მოწოდებული,ერწოს ქ. 10,165.0,2025-07-11 15:45,იყიდება
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-4-otaxiani-bina-varketilshi-21808343,თბილისი,129600.0,1200.0,იყიდება 4 ოთახიანი ბინა ვარკეთილში,არ არის მოწოდებული,დვალის ქ. 3,108.0,2025-07-11 15:29,იყიდება
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-4-otaxiani-bina-ortachalashi-21545945,თბილისი,165000.0,1435.0,იყიდება 4 ოთახიანი ბინა ორთაჭალაში,არ არის მოწოდებული,ლაისტი ა. ქ. 9,115.0,2025-07-11 14:19,იყიდება
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-saburtaloze-21805092,თბილისი,104000.0,1625.0,იყიდება 2 ოთახიანი ბინა საბურთალოზე,არ არის მოწოდებული,იყალთოს ქ.,64.0,2025-07-11 12:28,იყიდება
https://livo.ge/udzravi-qoneba/qiravdebadghiurad-bina/qiravdeba-dghiurad-2-otaxiani-bina-gldanshi-321212,თბილისი,15.0,0.0,ქირავდება დღიურად 2 ოთახიანი ბინა გლდანში,არ არის მოწოდებული,გლდანი - ა მ/რ,55.0,2025-07-11 11:50,ქირავდება დღიურად
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-isanshi-21204438,თბილისი,479.0,9.0,ქირავდება 2 ოთახიანი ბინა ისანში,არ არის მოწოდებული,ნადირაშვილი შ. ქ. 21,55.0,2025-07-11 11:42,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-vakeshi-21804282,თბილისი,850.0,14.0,ქირავდება 2 ოთახიანი ბინა ვაკეში,არ არის მოწოდებული,ატენის ქ. 16ა,60.0,2025-07-11 11:40,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/qiravdebadghiurad-bina/qiravdeba-dghiurad-2-otaxiani-bina-muxianshi-19115372,თბილისი,29.0,1.0,ქირავდება დღიურად 2 ოთახიანი ბინა მუხიანში,არ არის მოწოდებული,გობრონიძე ა. ქ. 11,45.0,2025-07-10 22:37,ქირავდება დღიურად
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-4-otaxiani-bina-did-dighomshi-21803329,თბილისი,552.0,5.0,ქირავდება 4 ოთახიანი ბინა დიდ დიღომში,არ არის მოწოდებული,გიორგი ბრწყინვალეს ქ. 35,120.0,2025-07-10 22:14,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-4-otaxiani-bina-kaklebshi-21801016,თბილისი,1300.0,8.0,ქირავდება 4 ოთახიანი ბინა კაკლებში,არ არის მოწოდებული,კაკლების ქ.,170.0,2025-07-10 17:24,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-3-otaxiani-bina-saburtaloze-21799826,თბილისი,600.0,8.0,ქირავდება 3 ოთახიანი ბინა საბურთალოზე,არ არის მოწოდებული,ბახტრიონის ქ. 23,80.0,2025-07-10 16:28,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-1-otaxiani-bina-did-dighomshi-21795720,თბილისი,370.0,12.0,ქირავდება 1 ოთახიანი ბინა დიდ დიღომში,არ არის მოწოდებული,დავარის ქ. 21,30.0,2025-07-10 12:33,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-dighmis-masivshi-21795265,თბილისი,580.0,13.0,ქირავდება 2 ოთახიანი ბინა დიღმის მასივში,არ არის მოწოდებული,ბელიაშვილი ა. ქ.,45.0,2025-07-10 12:05,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-did-dighomshi-21794581,თბილისი,67000.0,1457.0,იყიდება 2 ოთახიანი ბინა დიდ დიღომში,არ არის მოწოდებული,პეტრე იბერის ქ. 30,46.0,2025-07-10 10:11,იყიდება
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-3-otaxiani-bina-qutaisshi-21818509,ქუთაისი,368.0,6.0,ქირავდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ბუხაიძის ქ. 3ვ,65.0,2025-07-12 22:29,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-qutaisshi-21373456,ქუთაისი,39000.0,736.0,იყიდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,შერვაშიძის ქ. 53,53.0,2025-07-09 11:20,იყიდება
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-4-otaxiani-bina-qutaisshi-21821598,ქუთაისი,58000.0,744.0,იყიდება 4 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,განჯის ქ.,78.0,2025-07-13 20:51,იყიდება
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-10-otaxiani-bina-qutaisshi-21821499,ქუთაისი,80000.0,1000.0,იყიდება 10+ ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,წერეთლის ქუჩა,80.0,2025-07-13 19:59,იყიდება
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-7-otaxiani-bina-qutaisshi-21821490,ქუთაისი,221.0,2.0,ქირავდება 7 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,კუპრაძის ქ. 355,100.0,2025-07-13 19:55,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-qutaisshi-21821194,ქუთაისი,56100.0,1100.0,იყიდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,რუსთაველის შეს.,51.0,2025-07-13 18:18,იყიდება
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-qutaisshi-21820913,ქუთაისი,48000.0,800.0,იყიდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ბუხაიძის ქ.,60.0,2025-07-13 17:15,იყიდება
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-3-otaxiani-bina-qutaisshi-21820724,ქუთაისი,600.0,9.0,ქირავდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,აღმაშენებლის გამზ.,65.0,2025-07-13 16:46,ქირავდება თვიურად
